,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,roll_required,wav,pwav,der,er_index,ir,tr_index
2016-08-01,CLN17,CLN17,1,1.0,0.0,False,False,0.045520000000000005,0.046770000000000006,-0.026726534103057586,96.21063822,2.5843794212665472e-05,96.37018228
2016-08-02,CLN17,CLN17,2,1.0,0.0,False,False,0.04513,0.045520000000000005,-0.008567662565905132,95.38633794,8.614523860694945e-06,95.54534526
2016-08-03,CLN17,CLN17,3,1.0,0.0,False,False,0.04611,0.04513,0.02171504542432956,97.4576566,8.614523860694945e-06,97.62093985
2016-08-04,CLN17,CLN17,4,1.0,0.0,False,False,0.046939999999999996,0.04611,0.018000433745391398,99.21193669,8.614523860694945e-06,99.37900007
2016-08-05,CLN17,CLN17,5,1.0,0.0,False,False,0.046939999999999996,0.046939999999999996,0.0,99.21193669,8.614523860694945e-06,99.37985617
2016-08-08,CLN17,CLN17,6,1.0,0.0,False,False,0.0479,0.046939999999999996,0.020451640391989878,101.24098354,2.5843794212665472e-05,101.4149056
2016-08-09,CLN17,CLN17,7,1.0,0.0,False,False,0.0476,0.0479,-0.0062630480167013,100.6069064,8.614523860694945e-06,100.78061282
2016-08-10,CLN17,CLN17,8,1.0,0.0,False,False,0.047009999999999996,0.0476,-0.012394957983193455,99.35988802,8.614523860694945e-06,99.53230953
2016-08-11,CLN17,CLN17,9,1.0,0.0,False,False,0.04857,0.047009999999999996,0.03318442884492678,102.65708915,8.614523860694945e-06,102.83608979
2016-08-12,CLN17,CLN17,10,1.0,0.0,False,False,0.04929,0.04857,0.014823965410747375,104.17887429,8.614523860694945e-06,104.36141431
2016-08-15,CLN17,CLN17,11,1.0,0.0,False,False,0.05031,0.04929,0.020693852708460136,106.33473657,2.5843794212665472e-05,106.52375114
2016-08-16,CLN17,CLN17,12,1.0,0.0,False,False,0.05104,0.05031,0.014510037765851802,107.87765761,8.614523860694945e-06,108.07033244
2016-08-17,CLN17,CLN17,13,1.0,0.0,False,False,0.0516,0.05104,0.01097178683385569,109.06126827,8.614523860694945e-06,109.25698806
2016-08-18,CLN17,CLN17,14,1.0,0.0,False,False,0.05264,0.0516,0.020155038759689825,111.25940236,8.614523860694945e-06,111.46000809
2016-08-19,CLN17,CLN17,15,1.0,0.0,False,False,0.052719999999999996,0.05264,0.001519756838905817,111.4284896,8.614523860694945e-06,111.63036038
2016-08-22,CLN17,CLN17,16,1.0,0.0,False,False,0.05125,0.052719999999999996,-0.02788315629742033,108.32151161,2.5843794212665472e-05,108.52063855
2016-08-23,CLN17,CLN17,17,1.0,0.0,False,False,0.052020000000000004,0.05125,0.015024390243902674,109.94897627,8.614523860694945e-06,110.15202982
2016-08-24,CLN17,CLN17,18,1.0,0.0,False,False,0.05096,0.052020000000000004,-0.020376778162245368,107.70857037,8.614523860694945e-06,107.90843525
2016-08-25,CLN17,CLN17,19,1.0,0.0,False,False,0.05152,0.05096,0.010989010989011172,108.89218103,8.614523860694945e-06,109.09517181
2016-08-26,CLN17,CLN17,20,1.0,0.0,False,False,0.051789999999999996,0.05152,0.005240683229813525,109.46285046,8.614523860694945e-06,109.66784485
2016-08-29,CLN17,CLN17,21,1.0,0.0,False,False,0.05113,0.051789999999999996,-0.012743772929136754,108.06788075,2.5843794212665472e-05,108.27309697
2016-08-30,CLN17,CLN17,22,1.0,0.0,False,False,0.0505,0.05113,-0.012321533346371982,106.73631875,8.614523860694945e-06,106.93993911
2016-08-31,CLN17,CLN17,23,1.0,0.0,False,False,0.04875,0.0505,-0.034653465346534684,103.03753543,8.614523860694945e-06,103.23502088
2016-09-01,CLN17,CLN17,1,1.0,0.0,False,False,0.047299999999999995,0.04875,-0.029743589743589927,99.97282925,8.614523860694945e-06,100.16533009
2016-09-02,CLN17,CLN17,2,1.0,0.0,False,False,0.04858,0.047299999999999995,0.027061310782241055,102.67822505,8.892525428683129e-06,102.87682594
2016-09-06,CLN17,CLN17,3,1.0,0.0,False,False,0.04915,0.04858,0.011733223548785476,103.88297162,3.5570576179866364e-05,104.08756213
2016-09-07,CLN17,CLN17,4,1.0,0.0,False,False,0.04998,0.04915,0.01688708036622577,105.63725171,8.892525428683129e-06,105.84622276
2016-09-08,CLN17,CLN17,5,1.0,0.0,False,False,0.05195,0.04998,0.03941576630652266,109.80102494,8.892525428683129e-06,110.01917398
2016-09-09,CLN17,CLN17,6,1.0,0.0,False,False,0.05015,0.05195,-0.03464870067372483,105.99656209,8.892525428683129e-06,106.2081309
2016-09-12,CLN17,CLN17,7,1.0,0.0,False,False,0.05055,0.05015,0.007976071784645988,106.84199828,2.6677813517839155e-05,107.05808798
2016-09-13,CLN17,CLN17,8,1.0,0.0,False,False,0.04947,0.05055,-0.02136498516320473,104.55932057,8.892525428683129e-06,104.77174553
2016-09-14,CLN17,CLN17,9,1.0,0.0,False,False,0.04832,0.04947,-0.023246411966848513,102.12869153,8.892525428683129e-06,102.33711006
2016-09-15,CLN17,CLN17,10,1.0,0.0,False,False,0.04882,0.04832,0.010347682119205226,103.18548677,8.892525428683129e-06,103.39697198
2016-09-16,CLN17,CLN17,11,1.0,0.0,False,False,0.04801,0.04882,-0.016591560835723218,101.47347849,8.892525428683129e-06,101.68237429
