date,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,wav,pwav,der,er_index,ir,tr_index
2024-12-06,CLF25,CLG25,5,1.0,0.0,False,0.06720000000000001,0.0683,-0.016105417276720213,107.7540545,0.0001195438330729992,128.87165165
2024-12-09,CLF25,CLG25,6,0.8,0.2,False,0.06837,0.06720000000000001,0.017410714285714057,109.63012956,0.0003586743731114339,131.16162212
2024-12-10,CLF25,CLG25,7,0.6,0.4,False,0.068526,0.068314,0.003103317036039499,109.97034661,0.0001195438330729992,131.58433778
2024-12-11,CLF25,CLG25,8,0.3999999999999999,0.6000000000000001,False,0.070122,0.068462,0.02424702754812902,112.63680063,0.0001195438330729992,134.79059693
2024-12-12,CLF25,CLG25,9,0.19999999999999996,0.8,False,0.069804,0.070038,-0.003341043433564561,112.26047619,0.0001195438330729992,134.35636908
2024-12-13,CLF25,CLG25,10,0.0,1.0,False,0.07091399999999999,0.069732,0.016950610910342334,114.16335984,0.0001195438330729992,136.64985309
2024-12-16,CLF25,CLG25,11,0.0,1.0,False,0.07029,0.07082,-0.007483761649251464,113.30898847,0.0003586743731114339,135.67621097
2024-12-17,CLF25,CLG25,12,0.0,1.0,False,0.06965,0.07029,-0.009105135865699276,112.27729474,0.0001195438330729992,134.4570799
2024-12-18,CLF25,CLG25,13,0.0,1.0,False,0.07002,0.06965,0.0053122756640344715,112.87374268,0.0001195438330729992,135.18742649
2024-12-19,CLF25,CLG25,14,0.0,1.0,False,0.06938,0.07002,-0.009140245644101763,111.84204895,0.0001195438330729992,133.96794103
2024-12-20,CLF25,CLG25,15,0.0,1.0,False,0.06946,0.06938,0.0011530700490054446,111.97101067,0.0001195438330729992,134.1384305
2024-12-23,CLF25,CLG25,16,0.0,1.0,False,0.06924,0.06946,-0.0031672905269219953,111.61636595,0.0003586743731114339,133.76168714
2024-12-24,CLF25,CLG25,17,0.0,1.0,False,0.0701,0.06924,0.012420566146736034,113.00270441,0.0001195438330729992,135.43907341
2024-12-26,CLF25,CLG25,18,0.0,1.0,False,0.06962,0.0701,-0.006847360912981326,112.22893411,0.00023910195687393276,134.54405694
2024-12-27,CLF25,CLG25,19,0.0,1.0,False,0.0706,0.06962,0.014076414823326555,113.80871514,0.0001195438330729992,136.45403881
2024-12-30,CLF25,CLG25,20,0.0,1.0,False,0.07099,0.0706,0.005524079320113229,114.43740351,0.0003586743731114339,137.25676431
2024-12-31,CLF25,CLG25,21,0.0,1.0,False,0.07099,0.07099,0.0,114.43740351,0.0001195438330729992,137.27317251
2025-01-02,CLG25,CLH25,1,1.0,0.0,False,0.07313,0.07099,0.030145090857867318,117.88712944,0.00023910195687393276,141.44410706
2025-01-03,CLG25,CLH25,2,1.0,0.0,False,0.07396,0.07313,0.011349651305893493,119.22510725,0.00011757806457302067,143.06607908
2025-01-06,CLG25,CLH25,3,1.0,0.0,False,0.07356,0.07396,-0.005408328826392639,118.58029867,0.00035277566914859726,142.34280092
2025-01-07,CLG25,CLH25,4,1.0,0.0,False,0.07425,0.07356,0.009380097879282179,119.69259348,0.00011757806457302067,143.69472672
2025-01-08,CLG25,CLH25,5,1.0,0.0,False,0.07332,0.07425,-0.012525252525252495,118.19341352,0.00011757806457302067,141.91180933
2025-01-09,CLG25,CLH25,6,0.8,0.2,False,0.07392,0.07332,0.008183306055646433,119.1606264,0.00011757806457302067,143.08980282
2025-01-10,CLG25,CLH25,7,0.6,0.4,False,0.076406,0.073784,0.03553615960099754,123.39513744,0.00011757806457302067,148.19148911
2025-01-13,CLG25,CLH25,8,0.3999999999999999,0.6000000000000001,False,0.07821199999999999,0.076242,0.025838776527373097,126.58351682,0.00035277566914859726,152.07285423
2025-01-14,CLG25,CLH25,9,0.19999999999999996,0.8,False,0.076822,0.07790799999999999,-0.013939518406325235,124.81900356,0.00011757806457302067,149.97091231
2025-01-15,CLG25,CLH25,10,0.0,1.0,False,0.07897599999999999,0.07659600000000001,0.03107211864849302,128.69739445,0.00011757806457302067,154.64845958
2025-01-16,CLG25,CLH25,11,0.0,1.0,False,0.07784999999999999,0.07870999999999999,-0.010926184728751065,127.29122294,0.00011757806457302067,152.9769252
2025-01-17,CLG25,CLH25,12,0.0,1.0,False,0.07739,0.07784999999999999,-0.005908798972382612,126.53908469,0.00011757806457302067,152.09100203
2025-01-21,CLG25,CLH25,13,0.0,1.0,False,0.07583,0.07739,-0.020157643106344603,123.98835498,0.00047039521240210824,149.09674877
2025-01-22,CLG25,CLH25,14,0.0,1.0,False,0.07544,0.07583,-0.00514308321244894,123.35067255,0.00011757806457302067,148.34746229
2025-01-23,CLG25,CLH25,15,0.0,1.0,False,0.07462,0.07544,-0.01086956521739113,122.00990437,0.00011757806457302067,146.75243228
2025-01-24,CLG25,CLH25,16,0.0,1.0,False,0.07465999999999999,0.07462,0.0005360493165369462,122.0753077,0.00011757806457302067,146.84835369
2025-01-27,CLG25,CLH25,17,0.0,1.0,False,0.07317,0.07465999999999999,-0.01995713903027041,119.63903381,0.00035277566914859726,143.9694852
2025-01-28,CLG25,CLH25,18,0.0,1.0,False,0.07377,0.07317,0.00820008200082012,120.6200837,0.00011757806457302067,145.16697444
2025-01-29,CLG25,CLH25,19,0.0,1.0,False,0.07262,0.07377,-0.01558899281550763,118.73973808,0.00011757806457302067,142.92103597
2025-01-30,CLG25,CLH25,20,0.0,1.0,False,0.07273,0.07262,0.001514734232993753,118.91959723,0.00011757806457302067,143.15432774
2025-01-31,CLG25,CLH25,21,0.0,1.0,False,0.07253,0.07273,-0.002749896878867175,118.5925806,0.00011757806457302067,142.77749991
2025-02-03,CLH25,CLJ25,1,1.0,0.0,False,0.07316,0.07253,0.008686060940300555,119.62268298,0.00035277566914859726,144.0680424
2025-02-04,CLH25,CLJ25,2,1.0,0.0,False,0.0727,0.07316,-0.006287588846364156,118.87054473,0.00011785886688198133,143.17918148
2025-02-05,CLH25,CLJ25,3,1.0,0.0,False,0.07103,0.0727,-0.022971114167812945,116.13995588,0.00011785886688198133,139.9070711
2025-02-06,CLH25,CLJ25,4,1.0,0.0,False,0.07061,0.07103,-0.005912994509362113,115.45322096,0.00011785886688198133,139.09629065
